Fund Holdings as of,25-Apr-25,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
T,TELUS CORP,Communication,Equity,"132,389,198.04",0.89,"132,389,198.04","6,377,129.00",20.76,Canada,Toronto Stock Exchange,CAD,1,CAD
PPL,PEMBINA PIPELINE CORP,Energy,Equity,"130,589,486.40",0.88,"130,589,486.40","2,445,496.00",53.4,Canada,Toronto Stock Exchange,CAD,1,CAD
L,LOBLAW COMPANIES LTD,Consumer Staples,Equity,"128,945,633.04",0.87,"128,945,633.04","595,812.00",216.42,Canada,Toronto Stock Exchange,CAD,1,CAD
GIB.A,CGI INC CLASS A,Information Technology,Equity,"124,829,932.50",0.84,"124,829,932.50","853,538.00",146.25,Canada,Toronto Stock Exchange,CAD,1,CAD
QSR,RESTAURANTS BRANDS INTERNATIONAL I,Consumer Discretionary,Equity,"119,119,461.23",0.8,"119,119,461.23","1,366,519.00",87.17,Canada,Toronto Stock Exchange,CAD,1,CAD
BAM,BROOKFIELD ASSET MANAGEMENT VOTING,Financials,Equity,"116,498,237.05",0.78,"116,498,237.05","1,586,089.00",73.45,Canada,Toronto Stock Exchange,CAD,1,CAD
POW,POWER CORPORATION OF CANADA,Financials,Equity,"115,807,083.60",0.78,"115,807,083.60","2,279,667.00",50.8,Canada,Toronto Stock Exchange,CAD,1,CAD
BCE,BCE INC,Communication,Equity,"115,394,238.96",0.78,"115,394,238.96","3,842,632.00",30.03,Canada,Toronto Stock Exchange,CAD,1,CAD
CCO,CAMECO CORP,Energy,Equity,"111,866,593.78",0.75,"111,866,593.78","1,833,578.00",61.01,Canada,Toronto Stock Exchange,CAD,1,CAD
K,KINROSS GOLD CORP,Materials,Equity,"103,969,762.16",0.7,"103,969,762.16","5,177,777.00",20.08,Canada,Toronto Stock Exchange,CAD,1,CAD
TECK.B,TECK RESOURCES SUBORDINATE VOTING,Materials,Equity,"93,338,723.44",0.63,"93,338,723.44","1,890,979.00",49.36,Canada,Toronto Stock Exchange,CAD,1,CAD
TOU,TOURMALINE OIL CORP,Energy,Equity,"92,252,664.54",0.62,"92,252,664.54","1,479,831.00",62.34,Canada,Toronto Stock Exchange,CAD,1,CAD
CVE,CENOVUS ENERGY INC,Energy,Equity,"90,048,059.10",0.61,"90,048,059.10","5,379,215.00",16.74,Canada,Toronto Stock Exchange,CAD,1,CAD
MRU,METRO INC,Consumer Staples,Equity,"87,213,645.12",0.59,"87,213,645.12","848,712.00",102.76,Canada,Toronto Stock Exchange,CAD,1,CAD
BIP.UN,BROOKFIELD INFRASTRUCTURE PARTNERS,Utilities,Equity,"77,765,871.82",0.52,"77,765,871.82","1,945,606.00",39.97,Bermuda,Toronto Stock Exchange,CAD,1,CAD
EMA,EMERA INC,Utilities,Equity,"76,479,829.77",0.51,"76,479,829.77","1,245,397.00",61.41,Canada,Toronto Stock Exchange,CAD,1,CAD
H,HYDRO ONE LTD,Utilities,Equity,"68,903,145.65",0.46,"68,903,145.65","1,338,185.00",51.49,Canada,Toronto Stock Exchange,CAD,1,CAD
GFL,GFL ENVIRONMENTAL SUBORDINATE VOTI,Industrials,Equity,"68,691,441.45",0.46,"68,691,441.45","1,011,805.00",67.89,Canada,Toronto Stock Exchange,CAD,1,CAD
AGI,ALAMOS GOLD INC CLASS A,Materials,Equity,"68,590,083.60",0.46,"68,590,083.60","1,769,610.00",38.76,Canada,Toronto Stock Exchange,CAD,1,CAD
ARX,ARC RESOURCES LTD,Energy,Equity,"65,530,953.70",0.44,"65,530,953.70","2,484,115.00",26.38,Canada,Toronto Stock Exchange,CAD,1,CAD
IMO,IMPERIAL OIL LTD,Energy,Equity,"63,424,744.47",0.43,"63,424,744.47","664,203.00",95.49,Canada,Toronto Stock Exchange,CAD,1,CAD
X,TMX GROUP LTD,Financials,Equity,"62,478,590.72",0.42,"62,478,590.72","1,169,792.00",53.41,Canada,Toronto Stock Exchange,CAD,1,CAD
CLS,CELESTICA INC,Information Technology,Equity,"60,337,051.65",0.41,"60,337,051.65","488,757.00",123.45,Canada,Toronto Stock Exchange,CAD,1,CAD
GWO,GREAT WEST LIFECO INC,Financials,Equity,"60,149,353.08",0.4,"60,149,353.08","1,137,684.00",52.87,Canada,Toronto Stock Exchange,CAD,1,CAD
WN,GEORGE WESTON LTD,Consumer Staples,Equity,"58,315,604.13",0.39,"58,315,604.13","224,127.00",260.19,Canada,Toronto Stock Exchange,CAD,1,CAD
STN,STANTEC INC,Industrials,Equity,"57,945,563.52",0.39,"57,945,563.52","480,318.00",120.64,Canada,Toronto Stock Exchange,CAD,1,CAD
RCI.B,ROGERS COMMUNICATIONS NON-VOTING I,Communication,Equity,"56,189,193.63",0.38,"56,189,193.63","1,610,467.00",34.89,Canada,Toronto Stock Exchange,CAD,1,CAD
FM,FIRST QUANTUM MINERALS LTD,Materials,Equity,"54,548,905.95",0.37,"54,548,905.95","2,845,535.00",19.17,Canada,Toronto Stock Exchange,CAD,1,CAD
PAAS,PAN AMERICAN SILVER CORP,Materials,Equity,"53,845,137.40",0.36,"53,845,137.40","1,525,358.00",35.3,Canada,Toronto Stock Exchange,CAD,1,CAD
EFN,ELEMENT FLEET MANAGEMENT CORP,Industrials,Equity,"52,944,671.10",0.36,"52,944,671.10","1,702,401.00",31.1,Canada,Toronto Stock Exchange,CAD,1,CAD
MG,MAGNA INTERNATIONAL INC,Consumer Discretionary,Equity,"52,716,500.00",0.35,"52,716,500.00","1,116,875.00",47.2,Canada,Toronto Stock Exchange,CAD,1,CAD
DSG,DESCARTES SYSTEMS GROUP INC,Information Technology,Equity,"52,709,389.26",0.35,"52,709,389.26","360,554.00",146.19,Canada,Toronto Stock Exchange,CAD,1,CAD
IAG,IA FINANCIAL INC,Financials,Equity,"51,898,819.20",0.35,"51,898,819.20","393,024.00",132.05,Canada,Toronto Stock Exchange,CAD,1,CAD
