iShares MSCI ACWI ex U.S. ETF,,,,,,,,,,,,,,
Fund Holdings as of,25-Apr-25,,,,,,,,,,,,,
Inception Date,26-Mar-08,,,,,,,,,,,,,
Shares Outstanding,"105,400,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
BHP,BHP GROUP LTD,Materials,Equity,"26,422,760.34",0.45,"26,422,760.34","1,086,277.00",24.32,Australia,Asx - All Markets,USD,1.56,AUD,-
SAN,SANOFI SA,Health Care,Equity,"25,800,783.78",0.44,"25,800,783.78","245,723.00",105,France,Nyse Euronext - Euronext Paris,USD,0.88,EUR,-
AI,LAIR LIQUIDE SOCIETE ANONYME POUR,Materials,Equity,"25,366,567.93",0.43,"25,366,567.93","125,045.00",202.86,France,Nyse Euronext - Euronext Paris,USD,0.88,EUR,-
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,Information Technology,Equity,"25,256,004.13",0.43,"25,256,004.13","259,996.00",97.14,Canada,Toronto Stock Exchange,USD,1.39,CAD,-
SAN,BANCO SANTANDER SA,Financials,Equity,"23,810,199.88",0.4,"23,810,199.88","3,264,341.00",7.29,Spain,Bolsa De Madrid,USD,0.88,EUR,-
TD,TORONTO DOMINION,Financials,Equity,"23,343,315.32",0.39,"23,343,315.32","375,560.00",62.16,Canada,Toronto Stock Exchange,USD,1.39,CAD,-
IBE,IBERDROLA SA,Utilities,Equity,"22,616,230.98",0.38,"22,616,230.98","1,287,206.00",17.57,Spain,Bolsa De Madrid,USD,0.88,EUR,-
1810,XIAOMI CORP,Information Technology,Equity,"22,333,403.38",0.38,"22,333,403.38","3,631,800.00",6.15,China,Hong Kong Exchanges And Clearing Ltd,USD,7.76,HKD,-
OR,LOREAL SA,Consumer Staples,Equity,"22,117,453.36",0.37,"22,117,453.36","51,991.00",425.41,France,Nyse Euronext - Euronext Paris,USD,0.88,EUR,-
ZURN,ZURICH INSURANCE GROUP AG,Financials,Equity,"21,729,222.54",0.37,"21,729,222.54","31,698.00",685.51,Switzerland,SIX Swiss Exchange,USD,0.83,CHF,-
ENB,ENBRIDGE INC,Energy,Equity,"21,562,830.56",0.36,"21,562,830.56","467,015.00",46.17,Canada,Toronto Stock Exchange,USD,1.39,CAD,-
REL,RELX PLC,Industrials,Equity,"21,368,224.79",0.36,"21,368,224.79","401,101.00",53.27,United Kingdom,London Stock Exchange,USD,0.75,GBP,-
UBSG,UBS GROUP AG,Financials,Equity,"20,729,160.48",0.35,"20,729,160.48","693,829.00",29.88,Switzerland,SIX Swiss Exchange,USD,0.83,CHF,-
SPOT,SPOTIFY TECHNOLOGY SA,Communication,Equity,"20,447,137.52",0.35,"20,447,137.52","32,941.00",620.72,Sweden,New York Stock Exchange Inc.,USD,1,USD,-
CFR,COMPAGNIE FINANCIERE RICHEMONT SA,Consumer Discretionary,Equity,"20,412,892.44",0.34,"20,412,892.44","115,615.00",176.56,Switzerland,SIX Swiss Exchange,USD,0.83,CHF,-
SAF,SAFRAN SA,Industrials,Equity,"20,373,873.67",0.34,"20,373,873.67","77,885.00",261.59,France,Nyse Euronext - Euronext Paris,USD,0.88,EUR,-
AIR,AIRBUS GROUP,Industrials,Equity,"20,276,484.17",0.34,"20,276,484.17","126,854.00",159.84,France,Nyse Euronext - Euronext Paris,USD,0.88,EUR,-
RELIANCE,RELIANCE INDUSTRIES LTD,Energy,Equity,"19,867,459.19",0.34,"19,867,459.19","1,305,368.00",15.22,India,National Stock Exchange Of India,USD,85.44,INR,-
MUV2,MUENCHENER RUECKVERSICHERUNGS-GESE,Financials,Equity,"19,845,671.45",0.34,"19,845,671.45","28,969.00",685.07,Germany,Xetra,USD,0.88,EUR,-
939,CHINA CONSTRUCTION BANK CORP H,Financials,Equity,"19,116,987.05",0.32,"19,116,987.05","21,743,050.00",0.88,China,Hong Kong Exchanges And Clearing Ltd,USD,7.76,HKD,-
7974,NINTENDO LTD,Communication,Equity,"19,003,299.18",0.32,"19,003,299.18","240,000.00",79.18,Japan,Tokyo Stock Exchange,USD,143.98,JPY,-
8316,SUMITOMO MITSUI FINANCIAL GROUP IN,Financials,Equity,"18,803,101.93",0.32,"18,803,101.93","822,600.00",22.86,Japan,Tokyo Stock Exchange,USD,143.98,JPY,-
EL,ESSILORLUXOTTICA SA,Health Care,Equity,"18,522,715.13",0.31,"18,522,715.13","64,323.00",287.97,France,Nyse Euronext - Euronext Paris,USD,0.88,EUR,-
RMS,HERMES INTERNATIONAL,Consumer Discretionary,Equity,"18,463,354.62",0.31,"18,463,354.62","6,821.00","2,706.85",France,Nyse Euronext - Euronext Paris,USD,0.88,EUR,-
RR.,ROLLS-ROYCE HOLDINGS PLC,Industrials,Equity,"18,286,804.98",0.31,"18,286,804.98","1,818,996.00",10.05,United Kingdom,London Stock Exchange,USD,0.75,GBP,-
