iShares MSCI ACWI ex U.S. ETF
Fund Holdings as of,"Apr 17, 2025"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"104,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SAAB B","SAAB CLASS B","Industrials","Equity","3,208,444.11","0.06","3,208,444.11","70,316.00","45.63","Sweden","Nasdaq Omx Nordic","USD","9.64","SEK","-"
"SGSN","SGS SA","Industrials","Equity","3,200,548.08","0.06","3,200,548.08","34,126.00","93.79","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"2412","CHUNGHWA TELECOM LTD","Communication","Equity","3,195,670.89","0.06","3,195,670.89","812,000.00","3.94","Taiwan","Taiwan Stock Exchange","USD","32.52","TWD","-"
"SOON","SONOVA HOLDING AG","Health Care","Equity","3,175,598.76","0.06","3,175,598.76","10,982.00","289.16","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"9735","SECOM LTD","Industrials","Equity","3,171,237.52","0.06","3,171,237.52","86,700.00","36.58","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"1928","SEKISUI HOUSE LTD","Consumer Discretionary","Equity","3,152,001.13","0.06","3,152,001.13","138,400.00","22.77","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"2010","SAUDI BASIC INDUSTRIES","Materials","Equity","3,151,717.23","0.06","3,151,717.23","192,918.00","16.34","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"BBRI","BANK RAKYAT INDONESIA (PERSERO)","Financials","Equity","3,135,249.58","0.06","3,135,249.58","14,491,916.00","0.22","Indonesia","Indonesia Stock Exchange","USD","16,825.00","IDR","-"
"ITC","ITC LTD","Consumer Staples","Equity","3,131,641.09","0.06","3,131,641.09","625,751.00","5.00","India","National Stock Exchange Of India","USD","85.37","INR","-"
"SY1","SYMRISE AG","Materials","Equity","3,125,262.02","0.06","3,125,262.02","28,886.00","108.19","Germany","Xetra","USD","0.88","EUR","-"
"8309","SUMITOMO MITSUI TRUST GROUP INC","Financials","Equity","3,121,456.90","0.06","3,121,456.90","134,200.00","23.26","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"SHL","SIEMENS HEALTHINEERS AG","Health Care","Equity","3,114,120.66","0.05","3,114,120.66","61,433.00","50.69","Germany","Xetra","USD","0.88","EUR","-"
"TATAMOTORS","TATA MOTORS LTD","Consumer Discretionary","Equity","3,099,040.64","0.05","3,099,040.64","425,660.00","7.28","India","National Stock Exchange Of India","USD","85.37","INR","-"
"2015","LI AUTO CLASS A INC","Consumer Discretionary","Equity","3,088,900.28","0.05","3,088,900.28","267,506.00","11.55","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"PRY","PRYSMIAN","Industrials","Equity","3,084,299.13","0.05","3,084,299.13","60,506.00","50.98","Italy","Borsa Italiana","USD","0.88","EUR","-"
"SCHP","SCHINDLER HOLDING PAR AG","Industrials","Equity","3,081,351.30","0.05","3,081,351.30","9,221.00","334.17","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"1","CK HUTCHISON HOLDINGS LTD","Industrials","Equity","3,067,695.23","0.05","3,067,695.23","565,060.00","5.43","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"7733","OLYMPUS CORP","Health Care","Equity","3,063,356.77","0.05","3,063,356.77","243,800.00","12.57","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"MONC","MONCLER","Consumer Discretionary","Equity","3,062,176.82","0.05","3,062,176.82","50,239.00","60.95","Italy","Borsa Italiana","USD","0.88","EUR","-"
"AMXB","AMERICA MOVIL B","Communication","Equity","3,060,127.97","0.05","3,060,127.97","3,965,674.00","0.77","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"XRO","XERO LTD","Information Technology","Equity","3,038,306.39","0.05","3,038,306.39","30,765.00","98.76","Australia","Asx - All Markets","USD","1.57","AUD","-"
"055550","SHINHAN FINANCIAL GROUP LTD","Financials","Equity","3,034,154.59","0.05","3,034,154.59","91,311.00","33.23","Korea (South)","Korea Exchange (Stock Market)","USD","1,418.95","KRW","-"
"EVO","EVOLUTION","Consumer Discretionary","Equity","3,029,190.53","0.05","3,029,190.53","35,514.00","85.30","Sweden","Nasdaq Omx Nordic","USD","9.64","SEK","-"
"000270","KIA CORPORATION CORP","Consumer Discretionary","Equity","3,028,538.71","0.05","3,028,538.71","50,557.00","59.90","Korea (South)","Korea Exchange (Stock Market)","USD","1,418.95","KRW","-"
"BT.A","BT GROUP PLC","Communication","Equity","2,983,261.39","0.05","2,983,261.39","1,360,486.00","2.19","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"2020","ANTA SPORTS PRODUCTS LTD","Consumer Discretionary","Equity","2,980,494.34","0.05","2,980,494.34","257,400.00","11.58","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"KER","KERING SA","Consumer Discretionary","Equity","2,971,406.17","0.05","2,971,406.17","15,916.00","186.69","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"5020","ENEOS HOLDINGS INC","Energy","Equity","2,966,500.35","0.05","2,966,500.35","620,800.00","4.78","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","2,950,000.00","0.05","2,950,000.00","2,950,000.00","1.00","United States","-","USD","1.00","USD","-"
"6160","BEIGENE LTD","Health Care","Equity","2,923,517.46","0.05","2,923,517.46","162,476.00","17.99","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"STMPA","STMICROELECTRONICS NV","Information Technology","Equity","2,906,369.72","0.05","2,906,369.72","142,809.00","20.35","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"4307","NOMURA RESEARCH INSTITUTE LTD","Information Technology","Equity","2,903,578.96","0.05","2,903,578.96","76,500.00","37.96","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"KOG","KONGSBERG GRUPPEN","Industrials","Equity","2,898,711.69","0.05","2,898,711.69","18,925.00","153.17","Norway","Oslo Bors Asa","USD","10.50","NOK","-"
"BAMI","BANCO BPM","Financials","Equity","2,892,714.22","0.05","2,892,714.22","274,745.00","10.53","Italy","Borsa Italiana","USD","0.88","EUR","-"
"BEKE","KE HOLDINGS ADR REPRESENTING INC","Real Estate","Equity","2,892,826.42","0.05","2,892,826.42","152,014.00","19.03","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VWS","VESTAS WIND SYSTEMS","Industrials","Equity","2,882,366.95","0.05","2,882,366.95","215,232.00","13.39","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.58","DKK","-"
"STMN","STRAUMANN HOLDING AG","Health Care","Equity","2,879,172.34","0.05","2,879,172.34","24,358.00","118.20","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"2886","MEGA FINANCIAL HOLDING LTD","Financials","Equity","2,878,509.72","0.05","2,878,509.72","2,509,937.00","1.15","Taiwan","Taiwan Stock Exchange","USD","32.52","TWD","-"
"9101","NIPPON YUSEN","Industrials","Equity","2,867,216.99","0.05","2,867,216.99","91,800.00","31.23","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"BEI","BEIERSDORF AG","Consumer Staples","Equity","2,854,265.68","0.05","2,854,265.68","21,105.00","135.24","Germany","Xetra","USD","0.88","EUR","-"
"COLO B","COLOPLAST B","Health Care","Equity","2,850,770.68","0.05","2,850,770.68","26,700.00","106.77","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.58","DKK","-"
"6201","TOYOTA INDUSTRIES CORP","Industrials","Equity","2,840,518.21","0.05","2,840,518.21","32,100.00","88.49","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"TITAN","TITAN COMPANY LTD","Consumer Discretionary","Equity","2,840,046.12","0.05","2,840,046.12","72,865.00","38.98","India","National Stock Exchange Of India","USD","85.37","INR","-"
"REP","REPSOL SA","Energy","Equity","2,823,728.72","0.05","2,823,728.72","240,945.00","11.72","Spain","Bolsa De Madrid","USD","0.88","EUR","-"
"TRN","TERNA RETE ELETTRICA NAZIONALE","Utilities","Equity","2,819,902.91","0.05","2,819,902.91","294,568.00","9.57","Italy","Borsa Italiana","USD","0.88","EUR","-"
"UPM","UPM-KYMMENE","Materials","Equity","2,819,339.57","0.05","2,819,339.57","109,230.00","25.81","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.88","EUR","-"
"207940","SAMSUNG BIOLOGICS LTD","Health Care","Equity","2,812,158.29","0.05","2,812,158.29","3,768.00","746.33","Korea (South)","Korea Exchange (Stock Market)","USD","1,418.95","KRW","-"
"HEN3","HENKEL & KGAA PREF AG","Consumer Staples","Equity","2,811,589.54","0.05","2,811,589.54","36,883.00","76.23","Germany","Xetra","USD","0.88","EUR","-"
"9766","KONAMI GROUP CORP","Communication","Equity","2,801,462.52","0.05","2,801,462.52","20,800.00","134.69","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"2388","BOC HONG KONG HOLDINGS LTD","Financials","Equity","2,789,786.71","0.05","2,789,786.71","740,500.00","3.77","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"2628","CHINA LIFE INSURANCE LTD H","Financials","Equity","2,782,199.67","0.05","2,782,199.67","1,579,000.00","1.76","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"7936","ASICS CORP","Consumer Discretionary","Equity","2,765,981.23","0.05","2,765,981.23","138,100.00","20.03","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"EMA","EMERA INC","Utilities","Equity","2,763,579.49","0.05","2,763,579.49","62,836.00","43.98","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"669","TECHTRONIC INDUSTRIES LTD","Industrials","Equity","2,757,386.75","0.05","2,757,386.75","281,500.00","9.80","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"WEGE3","WEG SA","Industrials","Equity","2,745,535.44","0.05","2,745,535.44","350,120.00","7.84","Brazil","XBSP","USD","5.86","BRL","-"
"2","CLP HOLDINGS LTD","Utilities","Equity","2,739,650.82","0.05","2,739,650.82","328,500.00","8.34","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"3711","ASE TECHNOLOGY HOLDING LTD","Information Technology","Equity","2,734,463.13","0.05","2,734,463.13","686,762.00","3.98","Taiwan","Taiwan Stock Exchange","USD","32.52","TWD","-"
"CPU","COMPUTERSHARE LTD","Industrials","Equity","2,732,267.99","0.05","2,732,267.99","112,367.00","24.32","Australia","Asx - All Markets","USD","1.57","AUD","-"
"ENX","EURONEXT NV","Financials","Equity","2,732,657.73","0.05","2,732,657.73","17,283.00","158.11","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"GMAB","GENMAB","Health Care","Equity","2,729,414.24","0.05","2,729,414.24","13,903.00","196.32","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.58","DKK","-"
"INF","INFORMA PLC","Communication","Equity","2,726,874.77","0.05","2,726,874.77","298,117.00","9.15","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"HLMA","HALMA PLC","Information Technology","Equity","2,724,124.23","0.05","2,724,124.23","77,504.00","35.15","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"KRX","KINGSPAN GROUP PLC","Industrials","Equity","2,719,682.24","0.05","2,719,682.24","33,867.00","80.30","Ireland","Irish Stock Exchange - All Market","USD","0.88","EUR","-"
"SUN","SUNCORP GROUP LTD","Financials","Equity","2,702,415.97","0.05","2,702,415.97","220,260.00","12.27","Australia","Asx - All Markets","USD","1.57","AUD","-"
"LISN","CHOCOLADEFABRIKEN LINDT & SPRUENGL","Consumer Staples","Equity","2,701,872.07","0.05","2,701,872.07","19.00","142,203.79","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"MT","ARCELORMITTAL SA","Materials","Equity","2,700,282.45","0.05","2,700,282.45","99,874.00","27.04","France","Euronext Amsterdam","USD","0.88","EUR","-"
"2082","ACWA POWER CO","Utilities","Equity","2,698,483.02","0.05","2,698,483.02","31,040.00","86.94","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"EPI A","EPIROC CLASS A","Industrials","Equity","2,690,949.07","0.05","2,690,949.07","136,373.00","19.73","Sweden","Nasdaq Omx Nordic","USD","9.64","SEK","-"
"16","SUN HUNG KAI PROPERTIES LTD","Real Estate","Equity","2,684,810.47","0.05","2,684,810.47","294,000.00","9.13","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"9868","XPENG CLASS A INC","Consumer Discretionary","Equity","2,675,572.02","0.05","2,675,572.02","282,432.00","9.47","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"005490","POSCO","Materials","Equity","2,663,066.35","0.05","2,663,066.35","14,877.00","179.01","Korea (South)","Korea Exchange (Stock Market)","USD","1,418.95","KRW","-"
"BAER","JULIUS BAER GRUPPE AG","Financials","Equity","2,658,077.69","0.05","2,658,077.69","44,155.00","60.20","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"2899","ZIJIN MINING GROUP LTD H","Materials","Equity","2,657,113.05","0.05","2,657,113.05","1,198,000.00","2.22","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"SCG","SCENTRE GROUP","Real Estate","Equity","2,654,534.58","0.05","2,654,534.58","1,211,979.00","2.19","Australia","Asx - All Markets","USD","1.57","AUD","-"
"BAP","CREDICORP LTD","Financials","Equity","2,651,061.60","0.05","2,651,061.60","14,320.00","185.13","Peru","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CARL B","CARLSBERG AS CL B","Consumer Staples","Equity","2,631,683.28","0.05","2,631,683.28","19,318.00","136.23","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.58","DKK","-"
"4507","SHIONOGI LTD","Health Care","Equity","2,621,308.54","0.05","2,621,308.54","157,500.00","16.64","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"INDIGO","INTERGLOBE AVIATION LTD","Industrials","Equity","2,616,648.81","0.05","2,616,648.81","41,630.00","62.85","India","National Stock Exchange Of India","USD","85.37","INR","-"
"CIMB","CIMB GROUP HOLDINGS","Financials","Equity","2,610,134.54","0.05","2,610,134.54","1,701,800.00","1.53","Malaysia","Bursa Malaysia","USD","4.41","MYR","-"
"H","HYDRO ONE LTD","Utilities","Equity","2,599,415.07","0.05","2,599,415.07","70,561.00","36.84","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"BEL","BHARAT ELECTRONICS LTD","Industrials","Equity","2,599,086.66","0.05","2,599,086.66","751,778.00","3.46","India","National Stock Exchange Of India","USD","85.37","INR","-"
"1088","CHINA SHENHUA ENERGY LTD H","Energy","Equity","2,589,532.97","0.05","2,589,532.97","647,500.00","4.00","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"LISP","CHOCOLADEFABRIKEN LINDT & SPRUENGL","Consumer Staples","Equity","2,584,608.82","0.05","2,584,608.82","175.00","14,769.19","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"2884","E.SUN FINANCIAL HOLDING LTD","Financials","Equity","2,573,513.31","0.05","2,573,513.31","3,032,643.00","0.85","Taiwan","Taiwan Stock Exchange","USD","32.52","TWD","-"
"1CO","COVESTRO V AG","Materials","Equity","2,563,039.04","0.05","2,563,039.04","38,079.00","67.31","Germany","Xetra","USD","0.88","EUR","-"
"ARX","ARC RESOURCES LTD","Energy","Equity","2,552,370.18","0.05","2,552,370.18","128,699.00","19.83","Canada","Toronto Stock Exchange","USD","1.39","CAD","Jan 01, 1970"
"IAG","INSURANCE AUSTRALIA GROUP LTD","Financials","Equity","2,552,662.24","0.05","2,552,662.24","506,853.00","5.04","Australia","Asx - All Markets","USD","1.57","AUD","-"
"6594","NIDEC CORP","Industrials","Equity","2,542,518.63","0.04","2,542,518.63","172,600.00","14.73","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"9992","POP MART INTERNATIONAL GROUP LTD","Consumer Discretionary","Equity","2,538,299.05","0.04","2,538,299.05","119,800.00","21.19","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Financials","Equity","2,537,157.38","0.04","2,537,157.38","1,220,606.00","2.08","Brazil","XBSP","USD","5.86","BRL","-"
"086790","HANA FINANCIAL GROUP INC","Financials","Equity","2,535,270.38","0.04","2,535,270.38","62,347.00","40.66","Korea (South)","Korea Exchange (Stock Market)","USD","1,418.95","KRW","-"
"TATASTEEL","TATA STEEL LTD","Materials","Equity","2,527,091.59","0.04","2,527,091.59","1,573,144.00","1.61","India","National Stock Exchange Of India","USD","85.37","INR","-"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Industrials","Equity","2,496,260.76","0.04","2,496,260.76","42,787.00","58.34","Spain","Bolsa De Madrid","USD","0.88","EUR","-"
"MAYBANK","MALAYAN BANKING","Financials","Equity","2,495,548.04","0.04","2,495,548.04","1,114,400.00","2.24","Malaysia","Bursa Malaysia","USD","4.41","MYR","-"
"SGRO","SEGRO REIT PLC","Real Estate","Equity","2,494,313.08","0.04","2,494,313.08","272,771.00","9.14","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"PBBANK","PUBLIC BANK","Financials","Equity","2,491,702.55","0.04","2,491,702.55","2,536,300.00","0.98","Malaysia","Bursa Malaysia","USD","4.41","MYR","-"
"1216","UNI-PRESIDENT ENTERPRISES CORP","Consumer Staples","Equity","2,484,758.43","0.04","2,484,758.43","1,068,972.00","2.32","Taiwan","Taiwan Stock Exchange","USD","32.52","TWD","-"
"EDP","EDP ENERGIAS DE PORTUGAL SA","Utilities","Equity","2,481,818.67","0.04","2,481,818.67","669,687.00","3.71","Portugal","Nyse Euronext - Euronext Lisbon","USD","0.88","EUR","-"
"STO","SANTOS LTD","Energy","Equity","2,474,839.94","0.04","2,474,839.94","687,961.00","3.60","Australia","Asx - All Markets","USD","1.57","AUD","-"
"1010","RIYAD BANK","Financials","Equity","2,473,477.13","0.04","2,473,477.13","306,303.00","8.08","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"6988","NITTO DENKO CORP","Materials","Equity","2,464,280.69","0.04","2,464,280.69","138,800.00","17.75","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"LOGN","LOGITECH INTERNATIONAL SA","Information Technology","Equity","2,460,598.43","0.04","2,460,598.43","34,453.00","71.42","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"ALFA","ALFA LAVAL","Industrials","Equity","2,449,639.47","0.04","2,449,639.47","60,390.00","40.56","Sweden","Nasdaq Omx Nordic","USD","9.64","SEK","-"
"175","GEELY AUTOMOBILE HOLDINGS LTD","Consumer Discretionary","Equity","2,435,631.58","0.04","2,435,631.58","1,220,000.00","2.00","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"PNDORA","PANDORA","Consumer Discretionary","Equity","2,435,678.23","0.04","2,435,678.23","17,394.00","140.03","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.58","DKK","-"
"2328","PICC PROPERTY AND CASUALTY LTD H","Financials","Equity","2,432,106.31","0.04","2,432,106.31","1,376,285.00","1.77","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"823","LINK REAL ESTATE INVESTMENT TRUST","Real Estate","Equity","2,429,605.48","0.04","2,429,605.48","539,720.00","4.50","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"386","CHINA PETROLEUM AND CHEMICAL CORP","Energy","Equity","2,427,523.54","0.04","2,427,523.54","4,845,000.00","0.50","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"RTO","RENTOKIL INITIAL PLC","Industrials","Equity","2,426,004.92","0.04","2,426,004.92","523,780.00","4.63","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"8697","JAPAN EXCHANGE GROUP INC","Financials","Equity","2,422,437.07","0.04","2,422,437.07","221,200.00","10.95","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"2357","ASUSTEK COMPUTER INC","Information Technology","Equity","2,420,827.70","0.04","2,420,827.70","145,000.00","16.70","Taiwan","Taiwan Stock Exchange","USD","32.52","TWD","-"
"IMO","IMPERIAL OIL LTD","Energy","Equity","2,408,180.41","0.04","2,408,180.41","37,815.00","63.68","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"BBDC4","BANCO BRADESCO PREF SA","Financials","Equity","2,406,810.94","0.04","2,406,810.94","1,103,536.00","2.18","Brazil","XBSP","USD","5.86","BRL","-"
"8830","SUMITOMO REALTY & DEVELOPMENT LTD","Real Estate","Equity","2,403,661.93","0.04","2,403,661.93","63,200.00","38.03","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"2503","KIRIN HOLDINGS LTD","Consumer Staples","Equity","2,400,968.92","0.04","2,400,968.92","158,600.00","15.14","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"1605","INPEX CORP","Energy","Equity","2,397,987.98","0.04","2,397,987.98","189,100.00","12.68","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"373220","LG ENERGY SOLUTION LTD","Industrials","Equity","2,393,722.47","0.04","2,393,722.47","9,917.00","241.38","Korea (South)","Korea Exchange (Stock Market)","USD","1,418.95","KRW","-"
"FPH","FISHER AND PAYKEL HEALTHCARE CORPO","Health Care","Equity","2,394,019.54","0.04","2,394,019.54","119,935.00","19.96","New Zealand","New Zealand Exchange Ltd","USD","1.68","NZD","-"
"SRG","SNAM","Utilities","Equity","2,385,079.11","0.04","2,385,079.11","430,594.00","5.54","Italy","Borsa Italiana","USD","0.88","EUR","-"
"9104","MITSUI OSK LINES LTD","Industrials","Equity","2,377,896.22","0.04","2,377,896.22","69,700.00","34.12","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"BIRG","BANK OF IRELAND GROUP PLC","Financials","Equity","2,376,486.43","0.04","2,376,486.43","205,873.00","11.54","Ireland","Irish Stock Exchange - All Market","USD","0.88","EUR","-"
"FBK","FINECOBANK BANCA FINECO","Financials","Equity","2,376,352.54","0.04","2,376,352.54","122,505.00","19.40","Italy","Borsa Italiana","USD","0.88","EUR","-"
"ESLT","ELBIT SYSTEMS LTD","Industrials","Equity","2,372,004.29","0.04","2,372,004.29","5,810.00","408.26","Israel","Tel Aviv Stock Exchange","USD","3.69","ILS","-"
"GFL","GFL ENVIRONMENTAL SUBORDINATE VOTI","Industrials","Equity","2,357,228.78","0.04","2,357,228.78","48,741.00","48.36","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"SN.","SMITH AND NEPHEW PLC","Health Care","Equity","2,343,094.87","0.04","2,343,094.87","180,010.00","13.02","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"1109","CHINA RESOURCES LAND LTD","Real Estate","Equity","2,339,082.16","0.04","2,339,082.16","664,000.00","3.52","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"ASIANPAINT","ASIAN PAINTS LTD","Materials","Equity","2,335,234.61","0.04","2,335,234.61","80,782.00","28.91","India","National Stock Exchange Of India","USD","85.37","INR","-"
"WN","GEORGE WESTON LTD","Consumer Staples","Equity","2,327,138.00","0.04","2,327,138.00","12,552.00","185.40","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"ADVANC.R","ADVANCED INFO SERVICE NON-VOTING D","Communication","Equity","2,327,272.73","0.04","2,327,272.73","276,800.00","8.41","Thailand","Stock Exchange Of Thailand","USD","33.30","THB","-"
"SPSN","SWISS PRIME SITE AG","Real Estate","Equity","2,326,532.23","0.04","2,326,532.23","16,987.00","136.96","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"196170","ALTEOGEN INC","Health Care","Equity","2,325,770.46","0.04","2,325,770.46","8,777.00","264.98","Korea (South)","Korea Exchange (Kosdaq)","USD","1,418.95","KRW","-"
"COH","COCHLEAR LTD","Health Care","Equity","2,319,854.65","0.04","2,319,854.65","13,960.00","166.18","Australia","Asx - All Markets","USD","1.57","AUD","-"
"TLS","TELSTRA GROUP LTD","Communication","Equity","2,317,225.76","0.04","2,317,225.76","821,542.00","2.82","Australia","Asx - All Markets","USD","1.57","AUD","-"
"7532","PAN PACIFIC INTERNATIONAL HOLDINGS","Consumer Discretionary","Equity","2,311,269.86","0.04","2,311,269.86","75,600.00","30.57","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"4689","LY CORP","Communication","Equity","2,309,064.83","0.04","2,309,064.83","610,400.00","3.78","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"KNIN","KUEHNE UND NAGEL INTERNATIONAL AG","Industrials","Equity","2,308,558.81","0.04","2,308,558.81","10,392.00","222.15","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"ORG","ORIGIN ENERGY LTD","Utilities","Equity","2,308,772.37","0.04","2,308,772.37","356,554.00","6.48","Australia","Asx - All Markets","USD","1.57","AUD","-"
"SHFL","SHRIRAM FINANCE LTD","Financials","Equity","2,306,256.03","0.04","2,306,256.03","284,623.00","8.10","India","National Stock Exchange Of India","USD","85.37","INR","-"
"6326","KUBOTA CORP","Industrials","Equity","2,300,330.47","0.04","2,300,330.47","195,900.00","11.74","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"TRENT","TRENT LTD","Consumer Discretionary","Equity","2,283,540.88","0.04","2,283,540.88","37,998.00","60.10","India","National Stock Exchange Of India","USD","85.37","INR","-"
"9531","TOKYO GAS LTD","Utilities","Equity","2,279,687.81","0.04","2,279,687.81","69,100.00","32.99","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"MKS","MARKS AND SPENCER GROUP PLC","Consumer Staples","Equity","2,276,432.85","0.04","2,276,432.85","418,236.00","5.44","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"9613","NTT DATA GROUP CORP","Information Technology","Equity","2,273,547.32","0.04","2,273,547.32","125,400.00","18.13","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"GWO","GREAT WEST LIFECO INC","Financials","Equity","2,269,694.10","0.04","2,269,694.10","60,037.00","37.80","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"ABEV3","AMBEV SA","Consumer Staples","Equity","2,263,903.95","0.04","2,263,903.95","947,557.00","2.39","Brazil","XBSP","USD","5.86","BRL","-"
"CCH","COCA COLA HBC AG","Consumer Staples","Equity","2,250,306.36","0.04","2,250,306.36","45,153.00","49.84","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"ADM","ADMIRAL GROUP PLC","Financials","Equity","2,230,210.84","0.04","2,230,210.84","52,632.00","42.37","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"URW","UNIBAIL RODAMCO WE STAPLED UNITS","Real Estate","Equity","2,226,563.57","0.04","2,226,563.57","27,474.00","81.04","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"012330","HYUNDAI MOBIS LTD","Consumer Discretionary","Equity","2,225,574.19","0.04","2,225,574.19","13,241.00","168.08","Korea (South)","Korea Exchange (Stock Market)","USD","1,418.95","KRW","-"
"3","HONG KONG AND CHINA GAS LTD","Utilities","Equity","2,210,932.80","0.04","2,210,932.80","2,487,748.00","0.89","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
