iShares MSCI ACWI ex U.S. ETF
Fund Holdings as of,"Apr 17, 2025"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"104,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","21,449,558.40","0.38","21,449,558.40","256,524.00","83.62","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","21,292,130.74","0.38","21,292,130.74","31,187.00","682.72","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"ENB","ENBRIDGE INC","Energy","Equity","20,859,780.18","0.37","20,859,780.18","460,778.00","45.27","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"REL","RELX PLC","Industrials","Equity","20,630,414.93","0.36","20,630,414.93","395,774.00","52.13","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"OR","LOREAL SA","Consumer Staples","Equity","19,842,017.27","0.35","19,842,017.27","51,137.00","388.02","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Equity","19,409,355.00","0.34","19,409,355.00","28,500.00","681.03","Germany","Xetra","USD","0.88","EUR","-"
"AIR","AIRBUS GROUP","Industrials","Equity","19,385,897.60","0.34","19,385,897.60","125,160.00","154.89","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Consumer Discretionary","Equity","19,372,531.25","0.34","19,372,531.25","116,030.00","166.96","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"1810","XIAOMI CORP","Information Technology","Equity","19,305,677.56","0.34","19,305,677.56","3,573,000.00","5.40","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","19,228,977.93","0.34","19,228,977.93","1,288,036.00","14.93","India","National Stock Exchange Of India","USD","85.37","INR","-"
"UBSG","UBS GROUP AG","Financials","Equity","19,131,902.57","0.34","19,131,902.57","682,349.00","28.04","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"3690","MEITUAN","Consumer Discretionary","Equity","18,893,995.29","0.33","18,893,995.29","1,074,660.00","17.58","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","18,667,144.75","0.33","18,667,144.75","32,507.00","574.25","Sweden","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SAF","SAFRAN SA","Industrials","Equity","18,450,656.36","0.33","18,450,656.36","76,604.00","240.86","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","18,372,847.86","0.32","18,372,847.86","21,386,050.00","0.86","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Equity","18,287,934.19","0.32","18,287,934.19","810,000.00","22.58","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","18,054,467.32","0.32","18,054,467.32","1,095,708.00","16.48","India","National Stock Exchange Of India","USD","85.37","INR","-"
"EL","ESSILORLUXOTTICA SA","Health Care","Equity","17,758,631.13","0.31","17,758,631.13","63,266.00","280.70","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"BATS","BRITISH AMERICAN TOBACCO","Consumer Staples","Equity","17,641,379.77","0.31","17,641,379.77","421,329.00","41.87","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"ABBN","ABB LTD","Industrials","Equity","17,571,144.34","0.31","17,571,144.34","341,409.00","51.47","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"RMS","HERMES INTERNATIONAL","Consumer Discretionary","Equity","17,433,791.39","0.31","17,433,791.39","6,716.00","2,595.85","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"BNP","BNP PARIBAS SA","Financials","Equity","17,379,755.32","0.31","17,379,755.32","216,453.00","80.29","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"7974","NINTENDO LTD","Communication","Equity","17,202,872.31","0.30","17,202,872.31","236,500.00","72.74","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"UCG","UNICREDIT","Financials","Equity","16,972,211.10","0.30","16,972,211.10","299,716.00","56.63","Italy","Borsa Italiana","USD","0.88","EUR","-"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrials","Equity","16,968,430.16","0.30","16,968,430.16","1,794,839.00","9.45","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"CS","AXA SA","Financials","Equity","16,905,755.07","0.30","16,905,755.07","376,975.00","44.85","France","Nyse Euronext - Euronext Paris","USD","0.88","EUR","-"
"1299","AIA GROUP LTD","Financials","Equity","16,676,290.27","0.29","16,676,290.27","2,386,600.00","6.99","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD","-"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Equity","16,390,635.60","0.29","16,390,635.60","1,217,063.00","13.47","Spain","Bolsa De Madrid","USD","0.88","EUR","-"
"6861","KEYENCE CORP","Information Technology","Equity","16,379,299.68","0.29","16,379,299.68","40,400.00","405.43","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","16,115,300.24","0.28","16,115,300.24","298,000.00","54.08","Japan","Tokyo Stock Exchange","USD","142.22","JPY","-"
"BP.","BP PLC","Energy","Equity","15,930,894.70","0.28","15,930,894.70","3,349,557.00","4.76","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"CSL","CSL LTD","Health Care","Equity","15,714,579.44","0.28","15,714,579.44","103,118.00","152.39","Australia","Asx - All Markets","USD","1.57","AUD","-"
"RHM","RHEINMETALL AG","Industrials","Equity","15,397,434.51","0.27","15,397,434.51","9,266.00","1,661.71","Germany","Xetra","USD","0.88","EUR","-"
"ISP","INTESA SANPAOLO","Financials","Equity","15,353,244.10","0.27","15,353,244.10","3,103,474.00","4.95","Italy","Borsa Italiana","USD","0.88","EUR","-"
"GSK","GLAXOSMITHKLINE","Health Care","Equity","15,242,359.14","0.27","15,242,359.14","861,804.00","17.69","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"LSEG","LONDON STOCK EXCHANGE GROUP PLC","Financials","Equity","15,055,805.88","0.27","15,055,805.88","100,150.00","150.33","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"CP","CANADIAN PACIFIC KANSAS CITY LTD","Industrials","Equity","14,739,468.68","0.26","14,739,468.68","198,267.00","74.34","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"BMO","BANK OF MONTREAL","Financials","Equity","14,440,523.65","0.25","14,440,523.65","154,952.00","93.19","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"WBC","WESTPAC BANKING CORPORATION CORP","Financials","Equity","14,437,541.91","0.25","14,437,541.91","727,948.00","19.83","Australia","Asx - All Markets","USD","1.57","AUD","-"
"BN","BROOKFIELD CORP CLASS A","Financials","Equity","14,404,107.66","0.25","14,404,107.66","290,479.00","49.59","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
