Fund Holdings as of,"Apr 17, 2025"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"QSR","RESTAURANTS BRANDS INTERNATIONAL I","Consumer Discretionary","Equity","120,116,384.08","0.82","120,116,384.08","1,371,818.00","87.56","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BCE","BCE INC","Communication","Equity","117,539,030.51","0.80","117,539,030.51","3,857,533.00","30.47","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"POW","POWER CORPORATION OF CANADA","Financials","Equity","113,738,797.90","0.78","113,738,797.90","2,288,507.00","49.70","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BAM","BROOKFIELD ASSET MANAGEMENT VOTING","Financials","Equity","106,998,528.00","0.73","106,998,528.00","1,592,240.00","67.20","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"K","KINROSS GOLD CORP","Materials","Equity","106,556,786.00","0.73","106,556,786.00","5,197,892.00","20.50","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CCO","CAMECO CORP","Energy","Equity","104,919,216.00","0.72","104,919,216.00","1,840,688.00","57.00","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TOU","TOURMALINE OIL CORP","Energy","Equity","92,964,488.87","0.64","92,964,488.87","1,485,293.00","62.59","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CVE","CENOVUS ENERGY INC","Energy","Equity","90,431,005.50","0.62","90,431,005.50","5,398,866.00","16.75","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MRU","METRO INC","Consumer Staples","Equity","86,947,252.48","0.59","86,947,252.48","851,756.00","102.08","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TECK.B","TECK RESOURCES SUBORDINATE VOTING","Materials","Equity","86,550,396.00","0.59","86,550,396.00","1,898,035.00","45.60","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EMA","EMERA INC","Utilities","Equity","76,409,376.91","0.52","76,409,376.91","1,251,997.00","61.03","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BIP.UN","BROOKFIELD INFRASTRUCTURE PARTNERS","Utilities","Equity","75,358,278.24","0.51","75,358,278.24","1,950,266.00","38.64","Bermuda","Toronto Stock Exchange","CAD","1.00","CAD"
"AGI","ALAMOS GOLD INC CLASS A","Materials","Equity","72,831,850.60","0.50","72,831,850.60","1,778,990.00","40.94","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ARX","ARC RESOURCES LTD","Energy","Equity","68,725,283.20","0.47","68,725,283.20","2,497,285.00","27.52","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"H","HYDRO ONE LTD","Utilities","Equity","68,571,805.68","0.47","68,571,805.68","1,341,389.00","51.12","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GFL","GFL ENVIRONMENTAL SUBORDINATE VOTI","Industrials","Equity","68,261,943.15","0.47","68,261,943.15","1,017,165.00","67.11","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"X","TMX GROUP LTD","Financials","Equity","60,281,349.92","0.41","60,281,349.92","1,175,992.00","51.26","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GWO","GREAT WEST LIFECO INC","Financials","Equity","59,999,236.44","0.41","59,999,236.44","1,143,714.00","52.46","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IMO","IMPERIAL OIL LTD","Energy","Equity","59,006,681.51","0.40","59,006,681.51","667,723.00","88.37","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"STN","STANTEC INC","Industrials","Equity","58,367,875.04","0.40","58,367,875.04","482,858.00","120.88","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"RCI.B","ROGERS COMMUNICATIONS NON-VOTING I","Communication","Equity","58,024,852.48","0.40","58,024,852.48","1,618,997.00","35.84","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WN","GEORGE WESTON LTD","Consumer Staples","Equity","57,964,731.89","0.40","57,964,731.89","225,307.00","257.27","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PAAS","PAN AMERICAN SILVER CORP","Materials","Equity","57,552,011.68","0.39","57,552,011.68","1,529,012.00","37.64","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CLS","CELESTICA INC","Information Technology","Equity","57,173,136.92","0.39","57,173,136.92","491,347.00","116.36","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EFN","ELEMENT FLEET MANAGEMENT CORP","Industrials","Equity","51,496,657.89","0.35","51,496,657.89","1,711,421.00","30.09","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DSG","DESCARTES SYSTEMS GROUP INC","Information Technology","Equity","51,335,776.32","0.35","51,335,776.32","362,464.00","141.63","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATRL","ATKINSREALIS GROUP INC","Industrials","Equity","50,582,420.00","0.35","50,582,420.00","740,375.00","68.32","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ALA","ALTAGAS LTD","Utilities","Equity","50,471,480.00","0.34","50,471,480.00","1,261,787.00","40.00","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MG","MAGNA INTERNATIONAL INC","Consumer Discretionary","Equity","50,087,884.95","0.34","50,087,884.95","1,122,795.00","44.61","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IAG","IA FINANCIAL INC","Financials","Equity","50,075,480.96","0.34","50,075,480.96","395,104.00","126.74","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FM","FIRST QUANTUM MINERALS LTD","Materials","Equity","47,371,784.40","0.32","47,371,784.40","2,860,615.00","16.56","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CAE","CAE INC","Industrials","Equity","43,814,898.60","0.30","43,814,898.60","1,350,228.00","32.45","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","42,727,266.60","0.29","42,727,266.60","42,727,267.00","100.00","Canada","-","CAD","1.00","CAD"
"CCL.B","CCL INDUSTRIES INC CLASS B","Materials","Equity","42,562,790.16","0.29","42,562,790.16","620,268.00","68.62","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FSV","FIRSTSERVICE SUBORDINATE VOTING CO","Real Estate","Equity","41,849,682.00","0.29","41,849,682.00","175,839.00","238.00","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"KEY","KEYERA CORP","Energy","Equity","40,616,615.54","0.28","40,616,615.54","967,523.00","41.98","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"OTEX","OPEN TEXT CORP","Information Technology","Equity","39,402,912.85","0.27","39,402,912.85","1,114,651.00","35.35","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TIH","TOROMONT INDUSTRIES LTD","Industrials","Equity","38,800,242.40","0.27","38,800,242.40","343,730.00","112.88","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IVN","IVANHOE MINES LTD CLASS A","Materials","Equity","37,673,463.45","0.26","37,673,463.45","3,025,981.00","12.45","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TFII","TFI INTERNATIONAL INC","Industrials","Equity","35,925,532.50","0.25","35,925,532.50","334,191.00","107.50","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"GIL","GILDAN ACTIVEWEAR INC","Consumer Discretionary","Equity","33,999,386.46","0.23","33,999,386.46","597,109.00","56.94","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CTC.A","CANADIAN TIRE LTD CLASS A","Consumer Discretionary","Equity","32,341,939.00","0.22","32,341,939.00","220,388.00","146.75","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LUN","LUNDIN MINING CORP","Materials","Equity","31,726,537.92","0.22","31,726,537.92","3,004,407.00","10.56","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BBD.B","BOMBARDIER INC CLASS B","Industrials","Equity","30,406,682.04","0.21","30,406,682.04","363,412.00","83.67","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SOBO","SOUTH BOW CORP","Energy","Equity","29,891,441.55","0.20","29,891,441.55","878,385.00","34.03","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EMP.A","EMPIRE LTD CLASS A","Consumer Staples","Equity","28,341,647.12","0.19","28,341,647.12","576,284.00","49.18","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CIGI","COLLIERS INTERNATIONAL GROUP SUBOR","Real Estate","Equity","28,317,839.20","0.19","28,317,839.20","178,955.00","158.24","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CPX","CAPITAL POWER CORP","Utilities","Equity","27,755,299.20","0.19","27,755,299.20","588,036.00","47.20","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CAR.UN","CANADIAN APARTMENT PROPERTIES REAL","Real Estate","Equity","27,653,293.50","0.19","27,653,293.50","678,775.00","40.74","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SAP","SAPUTO INC","Consumer Staples","Equity","27,091,823.22","0.19","27,091,823.22","1,034,829.00","26.18","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BEP.UN","BROOKFIELD RENEWABLE PARTNERS NON","Utilities","Equity","27,018,075.05","0.18","27,018,075.05","905,735.00","29.83","Bermuda","Toronto Stock Exchange","CAD","1.00","CAD"
"IMG","IAMGOLD CORP","Materials","Equity","26,235,198.48","0.18","26,235,198.48","2,422,456.00","10.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BTO","B2GOLD CORP","Materials","Equity","25,543,414.26","0.17","25,543,414.26","5,565,014.00","4.59","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"OR","OSISKO GOLD ROYALTIES LTD","Materials","Equity","25,475,788.80","0.17","25,475,788.80","788,480.00","32.31","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DFY","DEFINITY FINANCIAL CORP","Financials","Equity","24,907,726.62","0.17","24,907,726.62","386,346.00","64.47","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WFG","WEST FRASER TIMBER LTD","Materials","Equity","24,645,409.88","0.17","24,645,409.88","242,788.00","101.51","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AQN","ALGONQUIN POWER UTILITIES CORP","Utilities","Equity","24,203,711.34","0.17","24,203,711.34","3,240,122.00","7.47","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
